Time_sec,MPU_Fusion_deg,Shaft_Angle_deg,Final_Fusion_deg
0.1,-0.0,0.0,0.0
0.2,-0.0,0.0,0.0
0.3,-0.1,0.0,-0.0
0.4,-0.1,0.0,-0.0
0.5,-0.1,0.0,-0.0
0.7,-0.1,0.0,-0.0
0.7,-0.1,0.0,-0.0
0.9,-0.0,0.0,0.0
1.0,-0.1,0.0,-0.0
1.1,-0.0,0.0,0.0
1.2,-0.0,0.0,0.0
1.3,-0.0,0.0,0.0
1.4,-0.1,0.0,-0.0
1.5,-0.1,0.0,-0.0
1.7,-0.1,0.0,-0.0
1.7,-0.0,0.0,-0.0
1.9,-0.1,0.0,-0.0
1.9,-0.1,0.0,-0.0
2.1,-0.1,0.0,-0.0
2.2,-0.1,0.0,-0.0
2.4,-0.1,0.0,-0.0
2.5,-0.1,0.0,-0.0
2.6,-0.1,0.0,-0.0
2.7,-0.1,0.0,-0.0
2.8,-0.1,0.0,-0.0
2.9,-0.1,0.0,-0.0
3.1,-0.1,0.0,-0.0
3.1,-0.1,0.0,-0.0
3.3,-0.1,0.0,-0.0
3.4,-0.1,0.0,-0.0
3.5,-0.1,0.0,-0.0
3.6,-0.1,0.0,-0.0
3.7,-0.1,0.0,-0.0
3.8,-0.1,0.0,-0.0
4.0,-0.1,0.0,-0.0
4.0,-0.1,0.0,-0.0
4.1,-0.0,0.0,0.0
4.2,0.0,0.0,0.0
4.4,0.0,0.0,0.0
4.4,0.0,0.0,0.0
4.6,0.0,0.0,0.0
4.7,0.0,0.0,0.0
4.8,0.0,0.0,0.0
4.9,0.0,0.0,0.0
5.1,-0.0,0.0,0.0
5.1,-0.0,0.0,0.0
5.3,-0.0,0.0,0.0
5.3,-0.1,0.0,-0.0
5.5,-0.1,0.0,-0.0
5.6,-0.1,0.0,-0.0
5.7,-0.1,0.0,-0.0
5.8,-0.1,0.0,-0.0
5.9,-2.4,2.0,0.9
6.0,-0.6,5.2,3.8
6.2,0.5,8.4,6.5
6.3,1.8,11.7,9.2
6.5,4.8,14.9,12.4
6.5,6.6,16.6,14.1
6.7,9.2,19.9,17.2
6.8,11.6,22.0,19.4
6.9,12.3,24.0,21.1
7.0,18.3,28.1,25.6
7.1,20.8,30.2,27.8
7.2,23.1,32.2,29.9
