Time_sec;MPU_Fusion_deg;Shaft_Angle_deg;Final_Fusion_deg
0.1;0.1;-0.1;-0.1
0.2;0.0;-0.1;-0.1
0.4;0.1;-0.1;-0.1
0.5;0.0;-0.1;-0.1
0.6;0.0;-0.1;-0.1
0.8;0.0;-0.1;-0.1
1.0;-0.0;-0.1;-0.1
1.1;-0.1;-0.1;-0.1
1.3;0.0;-0.1;-0.1
1.4;0.0;-0.1;-0.1
1.6;-0.0;-0.1;-0.1
1.8;-0.1;-0.1;-0.1
1.8;0.0;-0.1;-0.1
2.0;-0.0;-0.1;-0.1
2.2;-0.0;-0.1;-0.1
2.4;-0.1;-0.1;-0.1
2.5;-0.1;-0.1;-0.1
2.6;-0.1;-0.1;-0.1
2.8;-0.1;-0.1;-0.1
3.0;-0.1;-0.1;-0.1
3.1;-0.2;-0.1;-0.1
3.2;-0.2;-0.1;-0.1
3.4;-0.1;-0.1;-0.1
3.5;-0.1;-0.1;-0.1
3.7;-0.1;-0.1;-0.1
3.8;-0.1;-0.1;-0.1
3.9;-0.0;-0.1;-0.1
4.1;-0.0;-0.1;-0.1
4.3;-0.1;-0.1;-0.1
4.4;-0.1;-0.1;-0.1
4.5;-0.1;-0.1;-0.1
4.7;-0.1;-0.1;-0.1
4.8;-0.1;-0.1;-0.1
5.0;-0.0;-0.1;-0.1
5.0;-0.1;-0.1;-0.1
5.1;-0.0;-0.1;-0.1
5.3;-0.1;-0.1;-0.1
5.5;-0.0;-0.1;-0.1
5.6;-0.4;0.5;0.2
5.7;1.6;4.2;3.5
5.8;4.1;5.8;5.4
5.9;5.4;9.2;8.2
6.0;6.8;10.9;9.9
6.1;9.0;14.3;13.0
6.2;9.8;16.0;14.4
6.4;12.0;19.4;17.6
6.5;13.6;21.6;19.6
6.6;15.4;23.7;21.7
6.7;17.1;25.8;23.6
6.8;20.4;30.1;27.7
7.0;26.6;34.2;32.3
7.1;28.4;36.3;34.3
7.2;31.1;38.5;36.6
7.4;34.8;42.7;40.8
7.6;38.3;44.9;43.2
7.7;40.6;44.9;43.8
7.8;42.4;44.9;44.3
8.0;45.4;44.9;45.0
8.2;47.6;44.9;45.6
8.4;49.2;44.9;46.0
8.6;50.1;44.9;46.2
8.8;50.6;44.9;46.3
8.9;50.8;44.9;46.4
9.0;50.8;44.9;46.4
9.2;50.7;44.9;46.4
9.4;50.4;44.9;46.3
9.6;50.0;44.9;46.2
9.8;49.5;44.9;46.0
9.9;49.2;44.9;46.0
10.0;48.9;44.9;45.9
10.1;48.6;44.9;45.8
10.3;48.0;44.9;45.7
10.5;47.5;44.9;45.5
10.6;47.0;44.9;45.4
10.8;46.5;44.9;45.3
10.9;46.3;44.9;45.2
11.0;46.1;44.9;45.2
11.2;45.6;44.9;45.1
11.4;45.4;44.9;45.0
11.6;45.1;44.9;45.0
11.8;45.0;44.9;44.9
11.9;44.9;44.9;44.9
12.0;44.7;44.9;44.9
12.1;44.6;44.9;44.8
12.3;44.5;44.9;44.8
12.5;44.4;44.9;44.8
12.7;44.2;44.9;44.7
12.9;44.2;44.9;44.7
13.1;44.2;44.9;44.7
13.3;44.2;44.9;44.7
13.3;44.1;44.9;44.7
13.5;44.1;44.9;44.7
13.7;44.1;44.9;44.7
13.8;44.1;44.9;44.7
13.9;44.1;44.9;44.7
