Time_sec,MPU_Fusion_deg,Shaft_Angle_deg,Final_Fusion_deg
0.2,-0.3,0.1,-0.0
0.3,-0.3,0.1,-0.0
0.4,-0.3,0.1,0.0
0.6,-0.3,0.1,-0.0
0.8,-0.3,0.1,-0.0
0.9,-0.3,0.1,-0.0
1.0,-0.4,0.1,-0.0
1.2,-0.5,0.1,-0.1
1.4,-0.5,0.1,-0.1
1.5,-0.4,0.1,-0.0
1.7,-0.3,0.1,-0.0
1.8,-0.3,0.1,-0.0
1.9,-0.4,0.1,-0.0
2.1,-0.4,0.1,-0.0
2.1,-0.4,0.1,-0.0
2.2,-0.4,0.1,-0.0
2.4,-0.3,0.1,-0.0
2.6,-0.4,0.1,-0.0
2.7,-0.3,0.1,-0.0
2.9,-0.4,0.1,-0.0
3.0,-0.5,0.1,-0.0
3.2,-0.5,0.1,-0.1
3.3,-0.5,0.1,-0.0
3.4,-0.5,0.1,-0.0
3.6,-0.4,0.1,-0.0
3.8,-0.4,0.1,-0.0
3.9,-0.4,0.1,-0.0
4.1,-0.4,0.1,-0.0
4.2,-0.4,0.1,-0.0
4.4,-0.4,0.1,-0.0
4.5,-0.4,0.1,-0.0
4.7,-0.4,0.1,-0.0
4.9,-0.3,0.1,0.0
5.0,-0.3,0.1,0.0
5.1,-0.4,0.1,0.0
5.3,-0.4,0.1,0.0
5.5,-0.4,0.1,0.0
5.6,-0.4,0.1,0.0
5.8,-0.4,0.1,0.0
6.0,-0.4,0.1,-0.0
6.1,-0.4,0.1,0.0
6.2,-0.4,0.1,0.0
6.4,-0.4,0.1,0.0
6.5,-0.4,0.1,0.0
6.7,-0.3,0.1,0.0
6.8,-0.3,0.1,0.0
7.0,-0.4,0.1,0.0
7.2,-0.3,0.1,0.0
7.3,-0.3,0.1,0.0
7.4,-0.3,0.1,0.0
7.6,-0.3,0.1,0.0
7.8,-0.6,0.1,-0.1
12.2,-0.1,0.0,-0.0
12.3,-0.0,0.0,0.0
12.4,-0.1,0.0,-0.0
12.6,-0.1,0.0,-0.0
12.6,-0.1,0.0,-0.0
12.8,-0.1,0.0,-0.0
12.8,-0.2,0.0,-0.1
13.0,-0.2,0.0,-0.1
13.1,-0.2,0.0,-0.1
13.2,-0.2,0.0,-0.1
13.3,-0.2,0.0,-0.1
13.4,1.4,1.1,1.2
13.5,1.3,4.2,3.5
13.6,2.5,5.8,5.0
13.7,3.4,9.1,7.6
13.8,4.8,10.7,9.2
14.0,6.6,13.9,12.0
14.0,8.1,15.5,13.7
14.2,11.5,18.8,17.0
14.2,12.8,20.6,18.6
14.4,16.8,23.9,22.1
14.6,18.3,27.2,25.0
14.7,23.4,31.3,29.3
14.9,26.4,35.4,33.1
15.1,31.5,39.5,37.5
15.2,35.3,41.5,40.0
15.3,38.3,45.6,43.8
15.5,43.2,49.7,48.1
15.6,46.3,51.7,50.4
15.7,47.5,53.7,52.2
15.9,53.1,57.8,56.6
16.0,55.8,61.9,60.4
16.1,57.9,64.0,62.5
16.3,62.8,68.1,66.8
16.5,66.6,72.1,70.7
16.7,70.2,75.0,73.8
16.8,73.1,75.0,74.5
17.0,75.5,75.0,75.1
17.1,76.5,75.0,75.3
17.2,77.3,75.0,75.5
17.4,78.2,75.0,75.8
17.6,78.8,75.0,75.9
17.8,78.9,75.0,75.9
