Time_sec;MPU_Fusion_deg;Shaft_Angle_deg;Final_Fusion_deg;;;;;;;;;;;;;;;
15,4;26,2;30;29;;;;;;;;;;;;;;;
15,5;26,2;30;29,1;;;;;;;;;;;;;;;
15,7;26,4;30;29,1;;;;;;;;;;;;;;;
15,9;26,5;30;29,1;;;;;;;;;;;;;;;
16,1;26,7;30;29,2;;;;;;;;;;;;;;;
16,1;26,7;30;29,2;;;;;;;;;;;;;;;
16,3;26,9;30;29,2;;;;;;;;;;;;;;;
16,5;27;30;29,2;;;;;;;;;;;;;;;
16,7;27,1;30;29,3;;;;;;;;;;;;;;;
16,8;27,2;30;29,3;;;;;;;;;;;;;;;
16,9;27,2;30;29,3;;;;;;;;;;;;;;;
17,1;27,3;30;29,3;;;;;;;;;;;;;;;
17,3;27,4;30;29,4;;;;;;;;;;;;;;;
17,5;27,5;30;29,4;;;;;;;;;;;;;;;
17,6;27,6;30;29,4;;;;;;;;;;;;;;;
17,7;27,6;30;29,4;;;;;;;;;;;;;;;
17,8;27,6;30;29,4;;;;;;;;;;;;;;;
18;27,8;30;29,4;;;;;;;;;;;;;;;
18,2;27,8;30;29,4;;;;;;;;;;;;;;;
18,4;27,9;30;29,5;;;;;;;;;;;;;;;
18,5;27,9;30;29,5;;;;;;;;;;;;;;;
18,6;28;30;29,5;;;;;;;;;;;;;;;
18,8;28,1;30;29,5;;;;;;;;;;;;;;;
19;28,2;30;29,6;;;;;;;;;;;;;;;
19,1;28,2;30;29,6;;;;;;;;;;;;;;;
19,2;28,2;30;29,6;;;;;;;;;;;;;;;
19,3;28,3;30;29,6;;;;;;;;;;;;;;;
19,5;28,3;30;29,6;;;;;;;;;;;;;;;
19,7;28,4;30;29,6;;;;;;;;;;;;;;;
19,9;28,5;30;29,6;;;;;;;;;;;;;;;
20;28,5;30;29,6;;;;;;;;;;;;;;;
20,1;28,5;30;29,6;;;;;;;;;;;;;;;
20,3;28,6;30;29,6;;;;;;;;;;;;;;;
20,5;28,7;30;29,7;;;;;;;;;;;;;;;
20,7;28,7;30;29,7;;;;;;;;;;;;;;;
20,8;28,7;30;29,7;;;;;;;;;;;;;;;
20,9;28,8;30;29,7;;;;;;;;;;;;;;;
21;28,8;30;29,7;;;;;;;;;;;;;;;
21,2;28,8;30;29,7;;;;;;;;;;;;;;;
21,4;28,9;30;29,7;;;;;;;;;;;;;;;
21,5;28,9;30;29,7;;;;;;;;;;;;;;;
21,6;28,9;30;29,7;;;;;;;;;;;;;;;
21,8;28,9;30;29,7;;;;;;;;;;;;;;;
22;29;30;29,7;;;;;;;;;;;;;;;
22,2;29;30;29,8;;;;;;;;;;;;;;;
22,3;29;30;29,8;;;;;;;;;;;;;;;
22,4;29;30;29,8;;;;;;;;;;;;;;;
22,5;29,1;30;29,8;;;;;;;;;;;;;;;
22,7;29,1;30;29,8;;;;;;;;;;;;;;;
22,9;29,1;30;29,8;;;;;;;;;;;;;;;
23;29,1;30;29,8;;;;;;;;;;;;;;;
23;29,1;30;29,8;;;;;;;;;;;;;;;
23,2;29,2;30;29,8;;;;;;;;;;;;;;;
23,4;29,2;30;29,8;;;;;;;;;;;;;;;
23,5;29,2;30;29,8;;;;;;;;;;;;;;;
23,7;29,2;30;29,8;;;;;;;;;;;;;;;
23,8;29,2;30;29,8;;;;;;;;;;;;;;;
23,9;29,3;30;29,8;;;;;;;;;;;;;;;
24,1;29,3;30;29,8;;;;;;;;;;;;;;;
24,3;29,3;30;29,8;;;;;;;;;;;;;;;
24,4;29,3;30;29,8;;;;;;;;;;;;;;;
24,5;29,3;30;29,8;;;;;;;;;;;;;;;
24,7;29,4;30;29,8;;;;;;;;;;;;;;;
24,8;29,4;30;29,8;;;;;;;;;;;;;;;
24,9;29,4;30;29,9;;;;;;;;;;;;;;;
25,1;29,4;30;29,9;;;;;;;;;;;;;;;
25,2;29,4;30;29,9;;;;;;;;;;;;;;;
25,3;29,4;30;29,9;;;;;;;;;;;;;;;
25,5;29,5;30;29,9;;;;;;;;;;;;;;;
25,7;29,5;30;29,9;;;;;;;;;;;;;;;
25,8;29,5;30;29,9;;;;;;;;;;;;;;;
26;29,4;30;29,9;;;;;;;;;;;;;;;
26,1;29,4;30;29,9;;;;;;;;;;;;;;;
26,3;29,4;30;29,9;;;;;;;;;;;;;;;
26,5;29,5;30;29,9;;;;;;;;;;;;;;;
26,5;29,4;30;29,9;;;;;;;;;;;;;;;
26,6;29,4;30;29,9;;;;;;;;;;;;;;;
26,8;29,4;30;29,9;;;;;;;;;;;;;;;
27;29,5;30;29,9;;;;;;;;;;;;;;;
27,1;29,5;30;29,9;;;;;;;;;;;;;;;
27,2;29,5;30;29,9;;;;;;;;;;;;;;;
27,4;29,5;30;29,9;;;;;;;;;;;;;;;
27,5;29,5;30;29,9;;;;;;;;;;;;;;;
27,7;29,5;30;29,9;;;;;;;;;;;;;;;
27,9;29,5;30;29,9;;;;;;;;;;;;;;;
27,9;29,5;30;29,9;;;;;;;;;;;;;;;
28,1;29,5;30;29,9;;;;;;;;;;;;;;;
28,3;29,5;30;29,9;;;;;;;;;;;;;;;
28,5;29,5;30;29,9;;;;;;;;;;;;;;;
28,6;29,5;30;29,9;;;;;;;;;;;;;;;
28,7;29,6;30;29,9;;;;;;;;;;;;;;;
28,9;29,6;30;29,9;;;;;;;;;;;;;;;
29,1;29,6;30;29,9;;;;;;;;;;;;;;;
29,2;29,6;30;29,9;;;;;;;;;;;;;;;
29,4;29,6;30;29,9;;;;;;;;;;;;;;;
29,5;29,6;30;29,9;;;;;;;;;;;;;;;
29,6;29,7;30;29,9;;;;;;;;;;;;;;;
29,7;29,7;30;29,9;;;;;;;;;;;;;;;
29,9;29,7;30;29,9;;;;;;;;;;;;;;;
30,1;29,7;30;29,9;;;;;;;;;;;;;;;
30,1;29,7;30;29,9;;;;;;;;;;;;;;;
30,3;29,7;30;29,9;;;;;;;;;;;;;;;
30,5;29,7;30;29,9;;;;;;;;;;;;;;;
30,6;29,7;30;29,9;;;;;;;;;;;;;;;
30,8;29,7;30;29,9;;;;;;;;;;;;;;;
30,9;29,7;30;29,9;;;;;;;;;;;;;;;
31,1;29,7;30;29,9;;;;;;;;;;;;;;;
31,3;29,7;30;29,9;;;;;;;;;;;;;;;
31,5;29,8;30;29,9;;;;;;;;;;;;;;;
31,6;29,8;30;29,9;;;;;;;;;;;;;;;
31,8;29,8;30;29,9;;;;;;;;;;;;;;;
32;29,8;30;29,9;;;;;;;;;;;;;;;
32,2;29,8;30;29,9;;;;;;;;;;;;;;;
32,2;29,8;30;29,9;;;;;;;;;;;;;;;
32,3;29,8;30;29,9;;;;;;;;;;;;;;;
32,5;29,8;30;29,9;;;;;;;;;;;;;;;
32,7;29,8;30;29,9;;;;;;;;;;;;;;;
32,8;29,8;30;29,9;;;;;;;;;;;;;;;
32,9;29,8;30;29,9;;;;;;;;;;;;;;;
33,1;29,8;30;29,9;;;;;;;;;;;;;;;
33,2;29,8;30;30;;;;;;;;;;;;;;;
33,4;29,8;30;29,9;;;;;;;;;;;;;;;
33,6;29,8;30;29,9;;;;;;;;;;;;;;;
33,6;29,8;30;29,9;;;;;;;;;;;;;;;
33,7;29,8;30;29,9;;;;;;;;;;;;;;;
33,9;29,8;30;29,9;;;;;;;;;;;;;;;
34,1;29,8;30;29,9;;;;;;;;;;;;;;;
34,3;29,8;30;29,9;;;;;;;;;;;;;;;
34,4;29,8;30;29,9;;;;;;;;;;;;;;;
34,5;29,8;30;29,9;;;;;;;;;;;;;;;
34,7;29,8;30;29,9;;;;;;;;;;;;;;;
34,9;29,8;30;29,9;;;;;;;;;;;;;;;
35;29,8;30;30;;;;;;;;;;;;;;;
35,1;29,8;30;29,9;;;;;;;;;;;;;;;
35,3;29,8;30;29,9;;;;;;;;;;;;;;;
35,4;29,8;30;29,9;;;;;;;;;;;;;;;
35,6;29,8;30;29,9;;;;;;;;;;;;;;;
35,8;29,8;30;30;;;;;;;;;;;;;;;
35,8;29,8;30;30;;;;;;;;;;;;;;;
36;29,9;30;30;;;;;;;;;;;;;;;
36,2;29,9;30;30;;;;;;;;;;;;;;;
36,3;29,9;30;30;;;;;;;;;;;;;;;
36,5;29,9;30;30;;;;;;;;;;;;;;;
36,6;29,9;30;30;;;;;;;;;;;;;;;
36,7;29,9;30;30;;;;;;;;;;;;;;;
36,9;29,9;30;30;;;;;;;;;;;;;;;
37,1;29,9;30;30;;;;;;;;;;;;;;;
37,2;29,9;30;30;;;;;;;;;;;;;;;
37,3;29,9;30;30;;;;;;;;;;;;;;;
37,5;29,9;30;30;;;;;;;;;;;;;;;
37,6;29,9;30;30;;;;;;;;;;;;;;;
37,8;29,9;30;30;;;;;;;;;;;;;;;
37,9;29,8;30;30;;;;;;;;;;;;;;;
38;29,8;30;30;;;;;;;;;;;;;;;
38,2;29,8;30;30;;;;;;;;;;;;;;;
38,4;29,8;30;30;;;;;;;;;;;;;;;
38,5;29,8;30;30;;;;;;;;;;;;;;;
38,6;29,8;30;30;;;;;;;;;;;;;;;
38,8;29,9;30;30;;;;;;;;;;;;;;;
38,9;29,9;30;30;;;;;;;;;;;;;;;
39,1;29,9;30;30;;;;;;;;;;;;;;;
39,3;29,9;30;30;;;;;;;;;;;;;;;
39,3;29,9;30;30;;;;;;;;;;;;;;;
39,5;29,8;30;30;;;;;;;;;;;;;;;
39,7;29,9;30;30;;;;;;;;;;;;;;;
39,8;29,9;30;30;;;;;;;;;;;;;;;
40;29,9;30;30;;;;;;;;;;;;;;;
40,1;29,8;30;30;;;;;;;;;;;;;;;
40,3;29,9;30;30;;;;;;;;;;;;;;;
40,5;29,9;30;30;;;;;;;;;;;;;;;
40,6;29,9;30;30;;;;;;;;;;;;;;;
40,7;29,9;30;30;;;;;;;;;;;;;;;
40,8;29,9;30;30;;;;;;;;;;;;;;;
41;29,9;30;30;;;;;;;;;;;;;;;
41,2;29,9;30;30;;;;;;;;;;;;;;;
41,4;29,9;30;30;;;;;;;;;;;;;;;
41,5;29,9;30;30;;;;;;;;;;;;;;;
41,5;29,9;30;30;;;;;;;;;;;;;;;
41,7;29,9;30;30;;;;;;;;;;;;;;;
41,9;29,9;30;30;;;;;;;;;;;;;;;
42,1;29,9;30;30;;;;;;;;;;;;;;;
42,2;29,9;30;30;;;;;;;;;;;;;;;
42,3;29,9;30;30;;;;;;;;;;;;;;;
42,4;29,9;30;30;;;;;;;;;;;;;;;
42,6;29,9;30;30;;;;;;;;;;;;;;;
