Time_sec;MPU_Fusion_deg;Shaft_Angle_deg;Final_Fusion_deg
5,6;0,2;0;0,1
5,7;0,2;0;0,1
5,8;0,2;0;0,1
5,9;0,2;0;0,1
6;0,2;0;0,1
6,1;-0,2;0,3;0,2
6,2;0,3;3,5;2,7
6,3;0,8;5,2;4,1
6,5;0,2;8,3;6,3
6,6;0,1;11,6;8,8
6,7;0,5;13,3;10,1
6,8;1,1;16,4;12,6
6,9;1,4;18,1;13,9
7;3,2;21,5;16,9
7,1;3,7;23,5;18,5
7,2;3,9;25,5;20,1
7,4;5,8;29,6;23,6
7,6;6,9;33,5;26,9
7,7;8,3;37,5;30,2
7,9;9;41,6;33,5
8;9;43,6;35
8,2;9,7;47,6;38,2
8,3;11,6;51,7;41,7
8,4;12,4;53,7;43,4
8,6;14,4;57,8;46,9
8,8;16,1;60,1;49,1
8,9;16,7;60,1;49,2
9;17,5;60,1;49,4
9,1;18,4;60,1;49,7
9,3;20,1;60,1;50,1
9,5;21,5;60,1;50,4
9,7;22,9;60,1;50,8
9,7;23,6;60,1;51
9,8;24,3;60,1;51,1
10;25,7;60,1;51,5
10,2;27;60,1;51,8
10,3;27,6;60,1;52
10,4;28,2;60,1;52,1
10,6;29,4;60,1;52,4
10,8;30,6;60,1;52,7
11;31,7;60,1;53
11,2;32,7;60,1;53,2
11,3;33,2;60,1;53,4
11,5;34,2;60,1;53,6
11,7;35,2;60,1;53,9
11,9;36,1;60,1;54,1
12,1;37;60,1;54,3
12,1;37,4;60,1;54,4
12,3;38,2;60,1;54,6
12,5;39;60,1;54,8
12,7;39,8;60,1;55
12,8;40,2;60,1;55,1
12,9;40,5;60,1;55,2
13,1;41,2;60,1;55,4
13,3;41,9;60,1;55,5
13,5;42,5;60,1;55,7
13,6;42,9;60,1;55,8
13,8;43,5;60,1;55,9
14;44;60,1;56,1
14,2;44,6;60,1;56,2
14,4;45,2;60,1;56,4
14,5;45,4;60,1;56,4
14,6;46,1;60,1;56,6
14,8;46,7;60,1;56,7
15;47,1;60,1;56,8
15,1;47,2;60,1;56,9
15,2;47,4;60,1;56,9
15,3;47,6;60,1;57
15,5;48;60,1;57,1
15,7;48,4;60,1;57,2
15,9;48,8;60,1;57,2
16;49;60,1;57,3
16,2;49,4;60,1;57,4
16,4;49,8;60,1;57,5
16,6;50;60,1;57,6
16,7;50,2;60,1;57,6
16,8;50,4;60,1;57,6
17;50,7;60,1;57,7
17,1;51;60,1;57,8
17,3;51,3;60,1;57,9
17,5;51,6;60,1;58
17,6;51,7;60,1;58
17,8;52;60,1;58
18;52,2;60,1;58,1
18,2;52,3;60,1;58,1
18,3;52,5;60,1;58,2
18,5;52,6;60,1;58,2
18,7;52,9;60,1;58,3
18,9;53,1;60,1;58,3
19,1;53,3;60,1;58,4
19,2;53,4;60,1;58,4
19,3;53,5;60,1;58,4
19,4;53,6;60,1;58,5
19,6;53,8;60,1;58,5
19,8;54;60,1;58,5
19,9;54;60,1;58,6
20,1;54,2;60,1;58,6
20,3;54,4;60,1;58,7
20,5;54,5;60,1;58,7
20,7;54,7;60,1;58,7
20,8;54,8;60,1;58,8
21;54,9;60,1;58,8
21,2;55;60,1;58,8
21,4;55,1;60,1;58,9
21,5;55,2;60,1;58,9
21,7;55,4;60,1;58,9
21,8;55,5;60,1;58,9
22;55,6;60,1;59
22,2;55,7;60,1;59
22,3;55,8;60,1;59
22,5;55,9;60,1;59
22,7;55,9;60,1;59
22,9;56;60,1;59,1
23;56,1;60,1;59,1
23,2;56,2;60,1;59,1
23,4;56,2;60,1;59,1
