Time,MPU_Fusion,Shaft_Angle,Final_Fusion
75.67284321784973,-0.07,0.0,-0.01
75.81543254852295,-0.08,0.0,-0.02
75.96951794624329,-0.08,0.0,-0.02
76.12525510787964,-0.07,0.0,-0.01
76.22724771499634,-0.11,0.0,-0.02
76.38689136505127,-0.11,0.0,-0.02
76.49469923973083,-0.09,0.0,-0.02
76.65155577659607,-0.08,0.0,-0.02
76.75745940208435,-0.09,0.0,-0.02
76.90608286857605,-0.06,0.0,-0.01
77.0158863067627,-0.08,0.0,-0.02
77.1629991531372,-0.01,0.0,0.0
77.31962537765503,-0.03,0.0,0.0
77.42650413513184,-0.01,0.0,0.0
77.582688331604,-0.04,0.0,-0.01
77.7284300327301,-0.02,0.0,0.0
77.82272171974182,0.05,0.0,0.01
77.96993708610535,0.03,0.0,0.0
78.07528924942017,0.02,0.0,0.0
78.21727204322815,0.0,0.0,0.0
78.35996413230896,0.0,0.0,0.0
78.46285796165466,0.0,0.0,0.0
78.61379933357239,-0.02,0.0,0.0
78.75807476043701,-0.04,0.0,-0.01
78.89856266975403,-0.04,0.0,-0.01
79.00636863708496,0.0,0.0,0.0
79.15580654144287,-0.01,0.0,0.0
79.30685925483704,-0.02,0.0,0.0
79.40343022346497,-0.02,0.0,0.0
79.54881072044373,-0.03,0.0,0.0
79.70842361450195,-0.05,0.0,-0.01
79.80380344390869,-0.03,0.0,0.0
79.96249389648438,-0.02,0.0,0.0
80.11483407020569,-0.04,0.0,-0.01
80.2091772556305,-0.01,0.0,0.0
80.35631442070007,0.0,0.0,0.0
80.50868153572083,0.0,0.0,0.0
80.65483784675598,-0.03,0.0,0.0
80.75465488433838,0.0,0.0,0.0
80.91313362121582,0.0,0.0,0.0
81.0182740688324,-0.02,0.0,0.0
81.16623592376709,-0.03,0.0,0.0
81.32300043106079,-0.03,0.0,0.0
81.42247462272644,-0.04,0.0,-0.01
81.57160115242004,-0.04,0.0,-0.01
81.72852993011475,-0.02,0.0,0.0
81.83352947235107,-0.05,0.0,-0.01
81.98250603675842,-0.04,0.0,-0.01
82.12432217597961,-0.04,0.0,-0.01
82.22336840629578,-0.02,0.0,0.0
82.37455701828003,0.01,0.0,0.0
82.5204062461853,0.05,0.0,0.01
82.62259268760681,0.02,0.0,0.0
82.7701587677002,0.06,0.0,0.01
82.87708187103271,0.08,0.0,0.02
83.03173613548279,0.04,0.0,0.01
83.18850517272949,0.04,0.0,0.01
83.33975100517273,0.0,0.0,0.0
83.43223023414612,0.0,0.0,0.0
83.58825063705444,0.01,0.0,0.0
83.68103551864624,0.0,0.0,0.0
83.82174968719482,0.0,0.0,0.0
83.96123909950256,0.0,0.0,0.0
84.10214495658875,-0.03,0.0,0.0
84.24205803871155,-0.03,0.0,0.0
84.34851431846619,-0.05,0.0,-0.01
84.4873914718628,-0.03,0.0,0.0
84.6296238899231,-0.04,0.0,-0.01
84.77151918411255,-0.02,0.0,0.0
84.89698147773743,-0.02,0.0,0.0
85.03851270675659,0.0,0.0,0.0
85.17851161956787,0.01,0.0,0.0
85.3232901096344,0.0,0.0,0.0
85.41416025161743,0.0,0.0,0.0
85.59769678115845,-0.02,0.0,0.0
85.69351291656494,-0.03,0.0,0.0
85.83457612991333,-0.06,0.0,-0.01
85.98988509178162,-0.06,0.0,-0.01
86.13885021209717,-0.09,0.0,-0.02
86.27875423431396,-0.08,0.0,-0.02
86.41712403297424,-0.07,0.0,-0.01
86.55598998069763,-0.08,0.0,-0.02
86.69614934921265,-0.01,0.0,0.0
86.83501243591309,0.0,0.0,0.0
86.97318196296692,0.0,0.0,0.0
87.06582617759705,0.01,0.0,0.0
87.25163006782532,0.0,0.0,0.0
87.34416270256042,-0.02,0.0,0.0
87.48566842079163,-0.01,0.0,0.0
87.62506484985352,-0.03,0.0,0.0
87.76508045196533,-0.06,0.0,-0.01
87.91034054756165,-0.03,0.0,0.0
88.04664826393127,0.0,0.0,0.0
88.14554572105408,-0.06,0.0,-0.01
88.28141808509827,-0.05,0.0,-0.01
88.42308235168457,-0.05,0.0,-0.01
88.56015253067017,-0.04,0.0,-0.01
88.69542074203491,0.0,0.0,0.0
88.83409380912781,0.0,0.0,0.0
88.97045755386353,-0.01,0.0,0.0
89.11201906204224,0.01,0.0,0.0
89.21044135093689,0.0,0.0,0.0
89.34842276573181,0.0,0.0,0.0
89.49019980430603,0.01,0.0,0.0
89.62834811210632,0.0,0.0,0.0
89.76808619499207,-0.05,0.0,-0.01
89.90830993652344,-0.05,0.0,-0.01
90.00883650779724,-0.06,0.0,-0.01
90.14242315292358,-0.09,0.0,-0.02
