Time_sec;MPU_Fusion_deg;Shaft_Angle_deg;Final_Fusion_deg
0.2;-0.2;0.0;-0.1
0.3;-0.1;0.0;-0.1
0.5;-0.1;0.0;-0.1
0.6;0.2;0.0;0.1
0.7;-0.2;0.0;-0.1
0.9;0.2;0.0;0.1
1.1;-0.0;0.0;-0.0
1.2;-0.2;0.0;-0.1
1.4;-0.2;0.0;-0.1
1.5;-0.3;0.0;-0.1
1.7;0.2;0.0;0.1
1.9;-0.2;0.0;-0.1
2.0;0.2;0.0;0.1
2.2;-0.1;0.0;-0.1
2.4;0.7;0.0;0.3
2.5;-0.5;0.0;-0.2
2.7;-0.2;0.0;-0.1
2.8;-0.4;0.0;-0.2
3.0;0.1;0.0;0.0
3.2;-0.7;0.0;-0.3
3.3;0.1;0.0;0.1
3.5;-0.0;0.0;0.0
3.6;0.2;0.0;0.1
3.7;0.1;0.0;0.0
3.8;0.3;0.0;0.1
3.9;-0.0;0.0;-0.0
4.0;-0.5;0.0;-0.2
4.1;-0.3;0.0;-0.1
4.3;0.2;1.5;1.0
4.5;4.2;6.0;5.3
4.6;16.5;8.7;11.8
4.7;11.3;11.5;11.4
4.8;14.9;14.2;14.4
5.0;18.6;16.9;17.6
5.1;7.5;21.5;15.9
5.2;34.9;24.2;28.5
5.4;15.2;26.9;22.2
5.6;32.8;32.4;32.5
5.8;24.3;37.8;32.4
6.1;41.7;43.2;42.6
6.3;46.7;48.7;47.9
6.5;55.5;54.1;54.7
6.6;62.5;56.8;59.1
6.8;50.3;59.6;55.9
6.9;58.8;60.0;59.5
7.0;56.7;60.0;58.7
7.2;56.7;60.0;58.7
7.5;57.1;60.0;58.9
7.9;57.3;60.0;59.0
8.2;57.0;60.0;58.8
8.4;57.1;60.0;58.9
8.6;57.2;60.0;58.9
8.7;57.1;60.0;58.9
8.9;57.3;60.0;59.0
9.0;57.2;60.0;58.9
9.1;57.0;60.0;58.8
9.3;57.0;60.0;58.8
9.5;56.4;60.0;58.6
9.6;56.6;60.0;58.7
9.7;57.4;60.0;59.0
9.9;57.1;60.0;58.9
10.0;57.2;60.0;58.9
10.2;56.8;60.0;58.8
10.3;57.3;60.0;58.9
10.4;57.0;60.0;58.8
10.6;57.3;60.0;59.0
10.7;56.7;60.0;58.7
10.8;57.1;60.0;58.8
10.9;56.9;60.0;58.8
11.0;57.1;60.0;58.9
11.4;57.1;60.0;58.9
11.6;57.2;60.0;58.9
11.6;57.0;60.0;58.8
11.8;56.9;60.0;58.8
11.9;57.0;60.0;58.8
12.0;57.2;60.0;58.9
12.2;57.1;60.0;58.9
12.3;56.8;60.0;58.7
12.3;57.2;60.0;58.9
12.4;56.9;60.0;58.8
12.6;57.1;60.0;58.9
12.7;57.0;60.0;58.8
12.8;57.1;60.0;58.9
12.9;57.0;60.0;58.8
13.1;57.3;60.0;59.0
13.3;56.9;60.0;58.8
13.5;57.1;60.0;58.9
13.6;56.9;60.0;58.8
13.7;57.1;60.0;58.9
13.9;57.3;60.0;59.0
14.1;57.2;60.0;58.9
14.2;57.0;60.0;58.8
14.4;57.3;60.0;59.0
14.5;57.0;60.0;58.8
14.6;57.3;60.0;58.9
14.8;57.3;60.0;59.0
14.9;57.1;60.0;58.8
15.1;57.2;60.0;58.9
15.2;57.0;60.0;58.8
15.3;56.9;60.0;58.8
15.5;57.1;60.0;58.9
15.6;57.1;60.0;58.9
15.7;57.0;60.0;58.8
15.9;57.0;60.0;58.8
16.1;57.5;60.0;59.0
16.1;56.9;60.0;58.8
16.3;57.0;60.0;58.8
