Time_sec;MPU_Fusion_deg;Shaft_Angle_deg;Final_Fusion_deg
0.1;0.1;0.0;0.0
0.2;0.2;0.0;0.0
0.3;0.3;0.0;0.1
0.4;0.3;0.0;0.1
0.6;0.4;0.0;0.1
0.7;0.3;0.0;0.1
0.9;0.3;0.0;0.1
1.0;0.3;0.0;0.1
1.1;0.3;0.0;0.1
1.3;0.3;0.0;0.1
1.4;0.3;0.0;0.1
1.5;0.3;0.0;0.1
1.7;0.3;0.0;0.1
1.7;0.3;0.0;0.1
1.8;0.3;0.0;0.1
2.0;0.4;0.0;0.1
2.0;0.4;0.0;0.1
2.2;0.4;0.0;0.1
2.3;0.4;0.0;0.1
2.4;0.3;0.0;0.1
2.6;0.3;0.0;0.1
2.7;0.3;0.0;0.1
2.8;0.3;0.0;0.1
3.0;0.3;0.0;0.1
3.0;0.2;0.0;0.1
3.2;0.2;0.0;0.1
3.4;0.2;0.0;0.1
3.5;0.2;0.0;0.0
3.6;0.2;0.0;0.1
3.7;0.2;0.0;0.0
3.9;0.2;0.0;0.0
4.1;0.2;0.0;0.1
4.1;0.2;0.0;0.1
4.3;0.2;0.0;0.0
4.4;0.2;0.0;0.1
4.5;0.2;0.0;0.1
4.7;0.2;0.0;0.1
4.8;0.2;0.0;0.0
4.9;0.1;0.0;0.0
5.1;0.0;0.0;0.0
5.2;0.2;0.0;0.0
5.4;0.2;0.0;0.1
5.4;0.2;0.0;0.1
5.6;0.2;0.0;0.0
5.7;0.2;0.0;0.0
5.8;0.2;0.0;0.1
6.0;0.2;0.0;0.1
6.1;0.3;0.0;0.1
6.2;0.3;0.0;0.1
6.4;0.4;0.0;0.1
6.5;0.4;0.0;0.1
6.7;0.4;0.0;0.1
6.8;0.3;0.0;0.1
6.9;0.3;0.0;0.1
7.0;0.3;0.0;0.1
7.1;0.3;0.0;0.1
7.3;0.3;0.0;0.1
7.4;0.3;0.0;0.1
7.5;0.4;0.0;0.1
7.7;0.3;0.0;0.1
7.8;0.3;0.0;0.1
7.8;0.3;0.0;0.1
8.0;0.3;0.0;0.1
