Time_sec,MPU_Fusion_deg,Shaft_Angle_deg,Final_Fusion_deg
0.1,0.1,0.0,0.0
0.2,0.1,0.0,0.0
0.4,0.2,0.0,0.1
0.4,0.2,0.0,0.0
0.6,0.2,0.0,0.0
0.7,0.1,0.0,0.0
0.9,0.1,0.0,0.0
1.1,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.4,0.0,0.0,0.0
1.4,0.0,0.0,0.0
1.6,0.0,0.0,0.0
1.7,0.0,0.0,0.0
1.8,0.1,0.0,0.0
2.0,0.0,0.0,0.0
2.1,0.1,0.0,0.0
2.2,0.1,0.0,0.0
2.3,0.1,0.0,0.0
2.4,0.1,0.0,0.0
2.6,0.1,0.0,0.0
2.7,0.1,0.0,0.0
2.7,0.1,0.0,0.0
2.9,0.1,0.0,0.0
3.0,0.1,0.0,0.0
3.1,0.1,0.0,0.0
3.2,0.1,0.0,0.0
3.3,0.1,0.0,0.0
3.4,0.1,0.0,0.0
3.6,0.1,0.0,0.0
3.7,0.1,0.0,0.0
3.9,0.1,0.0,0.0
3.9,0.1,0.0,0.0
4.1,0.1,0.0,0.0
4.2,0.1,0.0,0.0
4.3,0.1,0.0,0.0
4.4,0.1,0.0,0.0
4.5,0.1,0.0,0.0
4.6,0.1,0.0,0.0
4.7,0.1,0.0,0.0
4.9,0.2,0.0,0.0
4.9,0.1,0.0,0.0
5.0,0.1,0.0,0.0
5.2,0.1,0.0,0.0
5.3,0.0,0.0,0.0
5.5,0.0,0.0,0.0
5.6,-1.9,1.5,0.7
5.7,-4.2,3.3,1.4
5.9,-5.0,8.5,5.1
6.0,-2.6,10.7,7.3
6.2,1.4,14.7,11.4
6.4,5.1,18.9,15.4
6.6,10.3,21.1,18.4
6.8,15.3,27.7,24.6
7.0,20.4,30.1,27.6
7.2,24.9,30.1,28.8
7.4,28.2,30.1,29.6
7.5,29.5,30.1,29.9
7.6,30.7,30.1,30.2
7.7,31.7,30.1,30.5
7.8,32.5,30.1,30.7
8.0,33.7,30.1,31.0
8.2,34.4,30.1,31.2
8.6,36.5,30.1,31.7
8.9,34.9,30.1,31.3
9.2,33.6,30.1,30.9
9.4,33.1,30.1,30.8
9.5,32.8,30.1,30.7
9.7,32.5,30.1,30.7
9.9,32.0,30.1,30.6
10.0,31.9,30.1,30.5
10.1,31.6,30.1,30.4
10.2,31.4,30.1,30.4
10.3,31.3,30.1,30.4
10.4,31.1,30.1,30.3
10.6,30.9,30.1,30.3
10.8,30.7,30.1,30.2
10.9,30.6,30.1,30.2
10.9,30.5,30.1,30.2
11.1,30.3,30.1,30.1
11.3,30.1,29.5,29.6
11.4,30.2,29.5,29.6
11.6,30.0,29.5,29.6
11.8,29.8,29.5,29.6
11.9,29.6,29.5,29.5
12.1,29.3,29.5,29.4
12.3,29.2,29.5,29.4
12.4,29.1,29.5,29.4
12.6,28.9,29.5,29.3
12.8,28.8,29.5,29.3
12.9,28.9,29.5,29.3
13.1,28.8,29.5,29.3
13.2,28.8,29.5,29.3
13.4,28.9,29.5,29.3
13.6,28.9,29.5,29.3
13.7,28.9,29.5,29.3
13.9,28.9,29.5,29.3
14.1,29.0,29.5,29.4
14.2,29.1,29.5,29.4
14.4,29.0,29.5,29.4
14.6,29.0,29.5,29.4
14.7,28.8,29.4,29.2
14.9,28.9,29.4,29.2
15.1,28.9,29.4,29.2
15.2,28.9,29.4,29.3
15.4,28.9,29.4,29.3
15.6,29.0,29.4,29.3
15.6,29.0,29.4,29.3
15.8,29.0,29.4,29.3
15.9,29.0,29.4,29.3
16.1,29.0,29.4,29.3
16.2,29.0,29.4,29.3
16.3,29.1,29.4,29.3
16.5,29.1,29.4,29.3
16.6,29.1,29.4,29.3
16.8,29.1,29.4,29.3
17.0,29.0,29.4,29.3
17.1,29.0,29.4,29.3
17.2,29.0,29.4,29.3
17.3,29.0,29.4,29.3
17.5,28.9,29.4,29.3
17.6,29.0,29.4,29.3
17.8,29.0,29.4,29.3
18.0,29.1,29.4,29.3
18.1,29.0,29.4,29.3
18.3,29.0,29.3,29.2
18.4,29.5,29.3,29.3
18.6,29.5,29.3,29.3
18.8,29.4,29.3,29.3
18.9,29.3,29.3,29.3
19.1,29.2,29.3,29.3
19.3,29.1,29.3,29.2
19.4,29.1,29.3,29.2
19.6,29.0,29.3,29.2
19.7,28.9,29.3,29.2
19.8,29.0,29.3,29.2
19.9,29.1,29.3,29.2
20.0,29.0,29.3,29.2
20.2,29.0,29.3,29.2
20.3,29.0,29.3,29.2
20.3,29.0,29.3,29.2
20.5,29.0,29.3,29.2
20.7,29.0,29.3,29.2
20.8,29.0,29.3,29.2
20.9,29.1,29.3,29.2
21.0,29.0,29.3,29.2
21.2,29.0,29.3,29.2
21.3,29.0,29.3,29.2
21.5,29.0,29.3,29.2
21.7,28.9,29.3,29.2
21.8,28.9,29.3,29.2
22.0,28.9,29.3,29.2
22.2,28.9,29.3,29.2
22.3,28.9,29.3,29.2
22.5,28.8,29.3,29.2
22.7,28.9,29.3,29.2
22.8,28.9,29.3,29.2
23.0,28.9,29.3,29.2
23.1,28.9,29.3,29.2
23.3,28.9,29.3,29.2
23.5,29.0,29.3,29.2
23.6,29.0,29.3,29.2
23.8,29.0,29.3,29.2
24.0,29.0,29.3,29.2
24.1,29.0,29.3,29.2
24.4,29.0,29.3,29.2
24.5,29.0,29.3,29.2
24.6,29.0,29.3,29.2
24.7,29.0,29.3,29.2
24.9,28.9,29.3,29.2
25.0,28.9,29.3,29.2
25.1,28.9,29.3,29.2
25.3,28.9,29.3,29.2
25.4,28.9,29.3,29.2
25.5,29.0,29.3,29.2
25.6,29.0,29.3,29.2
25.8,29.0,29.3,29.2
26.0,29.0,29.3,29.2
26.1,29.0,29.3,29.2
26.3,29.0,29.3,29.2
