Time_sec,MPU_Fusion_deg,Shaft_Angle_deg,Final_Fusion_deg
0.1,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.3,-0.0,0.0,-0.0
0.4,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.7,-0.0,0.0,-0.0
0.8,0.1,0.0,0.1
0.9,-0.1,0.0,-0.0
1.0,-0.1,0.0,-0.0
1.1,0.2,0.0,0.2
1.3,0.1,0.0,0.0
1.3,0.1,0.0,0.1
1.5,0.0,0.0,0.0
1.5,-0.1,0.0,-0.1
1.7,-0.1,0.0,-0.0
1.7,0.1,0.0,0.1
1.9,0.1,0.0,0.1
1.9,0.0,0.0,0.0
2.1,-0.0,0.0,-0.0
2.2,0.1,0.0,0.1
2.3,0.1,0.0,0.0
2.4,0.3,0.1,0.2
2.5,0.2,1.8,0.7
2.6,5.0,5.0,5.0
2.7,8.2,6.6,7.7
2.9,11.2,9.8,10.8
3.0,12.1,13.1,12.4
3.1,14.6,14.8,14.7
3.2,16.6,18.1,17.0
3.3,17.6,19.8,18.2
3.4,23.1,23.2,23.1
3.5,25.3,24.9,25.2
3.6,28.9,28.2,28.7
3.7,32.2,29.9,31.5
3.9,29.2,30.0,29.5
3.9,30.1,30.0,30.1
4.1,29.3,30.0,29.6
4.1,29.4,30.0,29.6
4.3,29.6,30.0,29.7
4.4,29.6,30.0,29.7
4.5,29.5,30.0,29.7
4.6,29.6,30.0,29.8
4.7,29.6,30.0,29.7
4.8,29.6,30.0,29.7
4.9,29.6,30.0,29.7
5.0,29.7,30.0,29.8
5.2,29.6,30.0,29.7
5.2,29.7,30.0,29.8
5.4,29.7,30.0,29.8
5.5,29.7,30.0,29.8
5.6,29.5,30.0,29.7
5.7,29.7,30.0,29.8
5.8,29.7,30.0,29.8
5.9,29.6,30.0,29.7
6.1,29.7,30.0,29.8
6.1,29.8,30.0,29.8
6.3,29.5,30.0,29.7
6.4,29.6,30.0,29.7
6.5,29.5,30.0,29.7
6.6,29.8,30.0,29.9
6.7,29.6,30.0,29.8
6.8,29.6,30.0,29.7
7.0,29.6,30.0,29.7
7.0,29.6,30.0,29.7
7.1,29.6,30.0,29.7
7.3,29.7,30.0,29.8
7.3,29.5,30.0,29.7
7.5,29.6,30.0,29.8
