Time_sec,MPU_Fusion_deg,Shaft_Angle_deg,Final_Fusion_deg
0.1,-0.0,0.0,0.0
0.2,-0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.9,0.1,0.0,0.0
1.0,0.1,0.0,0.0
1.1,0.1,0.0,0.0
1.2,0.1,0.0,0.0
1.4,0.1,0.0,0.0
1.5,0.2,0.0,0.0
1.7,0.2,0.0,0.1
1.9,0.2,0.0,0.1
2.1,0.2,0.0,0.1
2.2,0.2,0.0,0.0
2.3,0.2,0.0,0.0
2.5,0.1,0.0,0.0
2.6,0.1,0.0,0.0
2.6,0.1,0.0,0.0
2.8,0.2,0.0,0.0
3.0,0.1,0.0,0.0
3.1,0.2,0.0,0.0
3.3,0.2,0.0,0.0
3.5,0.2,0.0,0.0
3.6,0.2,0.0,0.0
3.7,0.2,0.0,0.0
3.9,0.1,0.0,0.0
4.1,0.1,0.0,0.0
4.2,0.1,0.0,0.0
4.4,0.1,0.0,0.0
4.6,0.1,0.0,0.0
4.7,0.1,0.0,0.0
4.9,0.1,0.0,0.0
5.1,0.1,0.0,0.0
5.2,0.1,0.0,0.0
5.4,0.1,0.0,0.0
5.5,0.1,0.0,0.0
5.8,0.1,0.0,0.0
6.2,0.1,0.0,0.0
6.5,0.2,0.0,0.0
6.6,0.2,0.0,0.0
6.8,0.2,0.0,0.0
7.0,0.2,0.0,0.1
7.1,0.3,0.0,0.1
7.2,0.3,0.0,0.1
7.4,0.3,0.0,0.1
7.6,0.3,0.0,0.1
7.6,0.3,0.0,0.1
7.8,0.3,0.0,0.1
7.9,0.3,0.0,0.1
8.0,0.3,0.0,0.1
8.1,0.2,0.0,0.1
8.2,0.2,0.0,0.1
8.3,0.2,0.0,0.1
8.5,0.2,0.0,0.0
8.6,0.2,0.0,0.1
8.8,0.2,0.0,0.1
9.0,0.2,0.0,0.0
9.1,0.2,0.0,0.1
9.3,0.2,0.0,0.0
9.5,0.1,0.0,0.0
9.6,0.1,0.0,0.0
9.8,0.1,0.0,0.0
10.0,0.2,0.0,0.0
10.1,0.2,0.0,0.1
10.3,0.2,0.0,0.0
10.5,0.1,0.0,0.0
10.7,0.2,0.0,0.0
10.7,0.2,0.0,0.1
