Time_sec,MPU_Fusion_deg,Shaft_Angle_deg,Final_Fusion_deg
0.1,0.0,0.0,0.0
0.2,0.4,0.0,0.2
0.4,0.5,0.0,0.2
0.5,0.1,0.0,0.1
0.6,0.5,0.0,0.2
0.7,0.3,0.0,0.1
0.9,0.5,0.0,0.2
0.9,0.2,0.0,0.1
1.1,0.1,0.0,0.0
1.2,0.4,0.0,0.1
1.3,0.2,0.0,0.1
1.5,0.4,0.0,0.1
1.6,0.1,0.0,0.0
1.8,0.7,0.0,0.3
1.8,0.6,0.0,0.2
2.0,0.1,0.0,0.0
2.0,-0.4,0.0,-0.2
2.2,-0.1,0.0,-0.0
2.3,0.2,0.0,0.1
2.4,0.2,0.0,0.1
2.5,0.5,0.0,0.2
2.6,0.3,0.0,0.1
2.7,0.4,0.0,0.2
2.9,1.0,0.0,0.4
2.9,0.2,0.0,0.1
3.1,0.4,0.0,0.2
3.2,0.6,0.0,0.2
3.3,0.8,0.0,0.3
3.4,0.6,0.0,0.2
3.5,0.7,0.0,0.3
3.6,0.7,0.0,0.3
3.7,0.2,0.0,0.1
3.8,0.2,0.0,0.1
3.9,0.4,0.0,0.1
4.0,0.2,0.0,0.1
4.1,2.5,0.0,1.0
4.3,-0.9,0.0,-0.3
4.5,0.3,0.0,0.1
4.7,1.1,0.0,0.4
4.8,-0.3,0.0,-0.1
5.0,1.0,1.9,1.5
5.2,1.4,6.1,4.2
5.3,15.5,8.2,11.1
5.3,11.5,10.4,10.9
5.4,16.6,12.6,14.2
5.7,22.9,16.9,19.3
5.9,21.1,23.6,22.6
6.1,24.4,28.5,26.9
6.2,20.1,30.0,26.1
6.3,27.7,30.0,29.1
6.4,31.1,30.0,30.4
6.5,29.9,30.0,30.0
6.6,29.9,30.0,30.0
6.9,29.6,30.0,29.9
7.0,29.8,30.0,29.9
7.2,29.6,30.0,29.9
7.4,29.4,30.0,29.8
7.6,29.8,30.0,29.9
7.8,29.7,30.0,29.9
8.0,29.9,30.0,30.0
8.1,30.3,30.0,30.1
8.2,29.7,30.0,29.9
8.3,30.2,30.0,30.1
8.4,30.0,30.0,30.0
8.6,30.7,30.0,30.3
8.8,30.9,30.0,30.4
9.0,30.8,30.0,30.3
9.2,30.2,30.0,30.1
9.4,30.8,30.0,30.3
9.6,30.2,30.0,30.1
9.9,29.3,30.0,29.8
10.2,29.1,30.0,29.7
10.5,29.7,30.0,29.9
10.8,30.0,30.0,30.0
11.0,29.0,30.0,29.6
11.0,30.1,30.0,30.1
11.1,29.9,30.0,30.0
11.3,30.3,30.0,30.1
11.3,29.8,30.0,30.0
11.6,35.6,29.5,31.9
11.7,30.6,29.3,29.8
11.9,30.2,29.3,29.7
12.1,29.7,29.3,29.5
12.3,28.4,29.3,28.9
12.4,29.3,29.3,29.3
12.5,29.6,29.3,29.4
12.6,29.6,29.3,29.4
12.8,30.9,29.3,29.9
13.0,29.2,29.3,29.2
13.1,29.6,29.3,29.4
13.2,29.3,29.3,29.3
13.4,29.2,29.3,29.3
13.6,29.6,29.3,29.4
13.8,29.8,29.3,29.5
14.0,29.4,29.3,29.3
14.2,30.9,29.3,29.9
14.3,30.3,29.3,29.7
14.5,29.9,29.3,29.5
14.6,29.6,29.3,29.4
14.8,29.4,29.3,29.3
15.0,29.7,29.3,29.5
15.1,29.1,29.3,29.2
15.2,29.1,29.3,29.2
15.4,29.7,29.3,29.4
15.5,29.3,29.3,29.3
15.7,29.3,29.3,29.3
15.8,29.4,29.3,29.3
16.0,29.8,29.3,29.5
16.1,30.9,29.3,29.9
16.2,28.9,29.3,29.2
16.4,29.4,29.3,29.4
16.5,27.7,29.3,28.7
16.6,28.8,29.3,29.1
16.7,29.2,29.3,29.2
16.9,46.9,29.1,36.2
17.1,29.4,29.1,29.2
17.3,29.4,29.1,29.2
17.5,29.3,29.1,29.2
17.6,29.3,29.1,29.2
17.8,29.7,29.1,29.3
18.0,28.8,29.1,29.0
18.2,29.4,29.1,29.2
18.3,29.1,29.1,29.1
18.4,29.9,29.1,29.4
18.5,29.5,29.1,29.3
18.7,28.9,29.1,29.0
18.9,29.3,29.1,29.2
19.0,29.2,29.1,29.2
19.1,29.4,29.1,29.2
19.3,29.3,29.1,29.2
19.5,29.1,29.1,29.1
19.8,29.8,29.1,29.4
19.9,29.3,29.1,29.2
20.0,29.1,29.1,29.1
20.2,28.5,29.1,28.9
20.2,29.6,29.1,29.3
20.3,27.5,29.1,28.5
20.5,29.0,29.1,29.1
20.5,29.6,29.1,29.3
20.7,29.1,29.1,29.1
20.9,29.5,29.1,29.3
21.0,29.4,29.1,29.2
21.1,29.2,29.1,29.1
21.3,29.7,29.1,29.3
21.4,29.2,29.1,29.2
21.6,29.4,29.1,29.2
21.7,29.2,29.1,29.2
21.7,29.2,29.1,29.1
21.9,29.1,29.1,29.1
22.0,29.3,29.1,29.2
22.1,29.8,29.1,29.4
22.3,30.1,29.1,29.5
22.5,29.0,29.1,29.1
22.6,29.6,29.1,29.3
22.8,30.4,29.1,29.6
22.8,29.8,29.1,29.4
23.0,29.7,29.1,29.4
23.2,29.7,29.1,29.4
23.3,29.2,29.1,29.1
23.4,29.0,29.1,29.1
23.6,27.3,29.1,28.4
23.7,27.5,29.1,28.5
23.9,29.7,29.1,29.3
24.0,29.0,29.1,29.1
24.2,28.9,29.1,29.0
24.3,29.6,29.1,29.3
24.4,30.1,29.1,29.5
24.6,30.0,29.1,29.4
24.8,29.4,29.1,29.2
24.9,28.2,29.1,28.8
25.1,28.9,29.1,29.0
25.1,28.9,29.1,29.0
25.3,28.9,29.1,29.0
25.5,29.5,29.1,29.3
25.6,30.1,29.1,29.5
25.7,30.2,29.1,29.6
25.8,29.7,29.1,29.3
25.9,28.7,29.1,28.9
26.0,29.2,29.1,29.1
26.2,29.3,29.1,29.2
26.3,28.7,29.1,28.9
26.5,29.8,29.1,29.4
26.6,29.3,29.1,29.2
26.7,29.0,29.1,29.1
26.8,29.1,29.1,29.1
27.0,29.6,29.1,29.3
27.1,29.3,29.1,29.2
27.3,29.2,29.1,29.1
27.4,29.1,29.1,29.1
27.6,29.2,29.1,29.2
27.8,29.4,29.1,29.2
27.9,28.9,29.1,29.0
28.0,29.4,29.1,29.2
28.1,29.4,29.1,29.2
28.2,29.6,29.1,29.3
28.3,29.0,29.1,29.1
28.5,29.6,29.1,29.3
28.6,29.5,29.1,29.3
28.8,29.7,29.1,29.4
28.9,29.6,29.1,29.3
29.0,29.2,29.1,29.2
29.1,29.4,29.1,29.2
29.3,29.7,29.1,29.4
29.4,29.4,29.1,29.2
29.5,29.5,29.1,29.3
29.7,29.3,29.1,29.2
29.8,29.5,29.1,29.3
30.0,29.2,29.1,29.2
30.1,29.3,29.1,29.2
30.2,29.4,29.1,29.2
30.4,29.5,29.1,29.3
30.5,29.2,29.1,29.1
30.6,29.3,29.1,29.2
30.7,29.2,29.1,29.1
30.9,29.4,29.1,29.2
30.9,29.5,29.1,29.2
31.1,29.5,29.1,29.3
31.3,29.1,29.1,29.1
31.4,29.3,29.1,29.2
31.5,29.2,29.1,29.2
31.7,29.2,29.1,29.1
31.7,29.3,29.1,29.2
31.8,29.2,29.1,29.1
32.0,29.1,29.1,29.1
32.1,29.1,29.1,29.1
32.2,29.6,29.1,29.3
32.4,29.5,29.1,29.3
32.5,29.2,29.1,29.1
32.6,29.4,29.1,29.2
32.7,29.2,29.1,29.1
32.8,29.5,29.1,29.3
32.9,29.5,29.1,29.2
33.1,29.4,29.1,29.2
33.2,28.9,29.1,29.1
33.4,29.2,29.1,29.2
33.5,29.4,29.1,29.2
33.6,29.1,29.1,29.1
33.8,29.6,29.1,29.3
34.0,29.4,29.1,29.2
34.0,29.5,29.1,29.3
34.2,29.3,29.1,29.2
34.4,29.3,29.1,29.2
34.5,28.9,29.1,29.0
34.6,29.4,29.1,29.2
34.7,29.5,29.1,29.3
34.8,29.2,29.1,29.1
34.9,29.2,29.1,29.2
35.1,29.6,29.1,29.3
35.1,29.4,29.1,29.2
35.2,28.8,29.1,29.0
35.4,29.5,29.1,29.3
35.5,28.4,29.1,28.8
35.6,30.1,29.1,29.5
35.8,29.5,29.1,29.3
35.9,29.3,29.1,29.2
36.0,29.4,29.1,29.2
36.2,29.5,29.1,29.3
36.3,29.1,29.1,29.1
36.5,29.7,29.1,29.3
36.7,29.2,29.1,29.2
36.8,29.8,29.1,29.4
36.9,29.4,29.1,29.2
37.0,29.1,29.1,29.1
37.1,29.4,29.1,29.2
37.2,29.5,29.1,29.3
37.4,29.3,29.1,29.2
37.5,29.2,29.1,29.1
37.7,29.5,29.1,29.2
37.8,29.4,29.1,29.2
37.9,29.0,29.1,29.1
38.1,29.4,29.1,29.2
38.2,29.0,29.1,29.1
38.3,29.5,29.1,29.3
38.5,29.5,29.1,29.2
38.6,29.0,29.1,29.1
38.6,29.3,29.1,29.2
38.8,29.4,29.1,29.2
39.0,29.4,29.1,29.2
39.1,29.1,29.1,29.1
39.2,29.5,29.1,29.3
39.4,29.5,29.1,29.3
39.5,29.6,29.1,29.3
39.7,29.4,29.1,29.2
39.8,29.6,29.1,29.3
40.0,29.6,29.1,29.3
40.1,29.4,29.1,29.2
40.2,29.2,29.1,29.1
40.4,29.0,29.1,29.1
40.5,29.4,29.1,29.2
40.6,29.2,29.1,29.2
40.8,29.6,29.1,29.3
40.9,29.5,29.1,29.3
41.1,29.2,29.1,29.1
41.3,29.3,29.1,29.2
41.4,29.1,29.1,29.1
41.5,29.4,29.1,29.2
41.7,29.1,29.1,29.1
41.8,29.4,29.1,29.2
42.0,29.0,29.1,29.1
42.1,29.2,29.1,29.1
42.3,29.4,29.1,29.2
42.4,29.2,29.1,29.2
42.5,29.4,29.1,29.2
42.7,29.3,29.1,29.2
42.8,29.2,29.1,29.2
43.0,29.5,29.1,29.3
43.2,29.4,29.1,29.2
43.2,29.5,29.1,29.2
43.4,29.4,29.1,29.2
43.6,29.3,29.1,29.2
43.7,29.3,29.1,29.2
43.9,29.4,29.1,29.2
44.0,29.2,29.1,29.2
