Time_sec,MPU_Fusion_deg,Shaft_Angle_deg,Final_Fusion_deg
0.1,-0.1,0.0,-0.0
0.3,-0.1,0.0,-0.0
0.3,0.5,0.0,0.2
0.5,0.3,0.0,0.1
0.6,-0.0,0.0,0.0
0.7,-0.0,0.0,-0.0
0.8,0.4,0.0,0.1
0.9,0.1,0.0,0.0
1.0,0.1,0.0,0.0
1.2,0.3,0.0,0.1
1.2,0.3,0.0,0.1
1.4,-0.1,0.0,-0.0
1.5,0.0,0.0,0.0
1.5,-0.1,0.0,-0.0
1.7,0.1,0.0,0.1
1.8,-0.4,0.0,-0.2
1.9,0.1,0.0,0.1
2.1,-0.1,0.0,-0.1
2.1,0.1,0.0,0.0
2.3,0.1,0.0,0.0
2.4,0.0,0.0,0.0
2.6,0.1,0.0,0.0
2.6,-0.3,0.0,-0.1
2.8,-0.3,0.0,-0.1
2.9,0.3,0.0,0.1
3.0,0.0,0.0,0.0
3.1,-1.1,0.0,-0.4
3.2,0.1,0.0,0.1
3.3,0.1,0.0,0.0
3.5,-0.1,0.0,-0.0
3.7,0.2,0.0,0.1
3.8,-0.2,0.0,-0.1
4.0,-0.2,0.0,-0.1
4.1,0.9,0.0,0.4
4.2,-0.5,0.0,-0.2
4.3,0.2,0.0,0.1
4.4,0.2,0.0,0.1
4.5,0.2,0.0,0.1
4.7,0.0,0.0,0.0
4.7,0.1,0.0,0.1
4.9,0.2,0.0,0.1
5.0,-0.1,0.0,-0.0
5.2,10.9,0.9,4.9
5.3,17.9,4.4,9.8
5.5,12.6,8.6,10.2
5.6,7.0,12.9,10.5
5.7,18.7,15.0,16.5
5.8,17.7,17.2,17.4
6.1,5.7,23.7,16.5
6.3,27.5,28.5,28.1
6.5,36.0,33.3,34.4
6.7,29.2,38.1,34.5
6.8,38.3,40.5,39.7
6.9,41.6,42.9,42.4
7.0,41.1,45.3,43.6
7.2,43.1,47.8,45.9
7.3,50.0,50.2,50.1
7.5,45.4,54.9,51.1
7.7,80.5,59.8,68.0
7.9,63.6,64.5,64.2
8.1,54.3,69.4,63.4
8.3,67.3,74.1,71.4
8.5,79.7,79.0,79.3
8.6,82.0,81.4,81.6
8.7,76.1,83.8,80.7
8.8,72.4,86.2,80.7
8.9,78.7,88.6,84.7
9.0,85.9,90.0,88.4
9.2,81.5,90.0,86.6
9.4,80.8,90.0,86.3
9.6,80.5,90.0,86.2
9.8,81.9,90.0,86.8
10.0,81.0,90.0,86.4
10.1,81.0,90.0,86.4
10.3,81.6,90.0,86.7
10.4,81.1,90.0,86.5
10.5,81.4,90.0,86.6
10.6,80.5,90.0,86.2
10.7,81.0,90.0,86.4
10.9,80.8,90.0,86.3
11.1,80.8,90.0,86.3
11.3,80.6,90.0,86.3
11.8,80.9,90.0,86.4
12.0,80.6,90.0,86.3
12.2,80.8,90.0,86.3
12.3,80.7,90.0,86.3
12.5,81.1,90.0,86.4
12.6,81.2,90.0,86.5
12.8,81.0,90.0,86.4
12.9,80.8,90.0,86.3
13.0,81.1,90.0,86.5
13.2,81.1,90.0,86.4
13.3,81.4,90.0,86.6
13.4,81.0,90.0,86.4
13.5,81.0,90.0,86.4
13.7,81.3,90.0,86.5
13.7,80.7,90.0,86.3
13.8,81.4,90.0,86.6
14.0,81.8,90.0,86.7
14.1,81.1,90.0,86.5
14.2,80.3,90.0,86.1
14.4,81.3,90.0,86.5
14.5,81.1,90.0,86.5
14.7,80.7,90.0,86.3
14.8,81.2,90.0,86.5
14.9,80.8,90.0,86.3
15.1,80.5,90.0,86.2
15.2,80.6,90.0,86.2
15.4,80.5,90.0,86.2
15.6,80.8,90.0,86.3
15.7,80.6,90.0,86.2
15.8,81.1,90.0,86.5
16.0,80.6,90.0,86.2
16.0,80.7,90.0,86.3
16.2,80.1,90.0,86.1
16.4,80.9,90.0,86.4
16.5,80.9,90.0,86.4
16.7,82.2,90.0,86.9
16.9,81.5,90.0,86.6
17.0,81.6,90.0,86.6
17.1,81.8,90.0,86.8
17.3,80.9,90.0,86.4
17.5,81.0,90.0,86.4
17.7,83.9,90.0,87.5
17.8,80.2,90.0,86.1
17.9,82.2,90.0,86.9
18.0,81.3,90.0,86.5
18.2,81.0,90.0,86.4
18.4,81.2,90.0,86.5
18.6,81.0,90.0,86.4
18.7,80.7,90.0,86.3
18.9,80.9,90.0,86.3
19.0,81.0,90.0,86.4
19.1,81.1,90.0,86.4
19.2,81.2,90.0,86.5
19.4,80.9,90.0,86.3
19.5,81.0,90.0,86.4
19.7,80.7,90.0,86.3
19.8,80.9,90.0,86.3
20.0,80.0,90.0,86.0
20.1,81.3,90.0,86.5
20.2,81.8,90.0,86.7
20.4,80.6,90.0,86.2
20.6,82.2,90.0,86.9
20.8,80.0,90.0,86.0
21.0,81.4,90.0,86.5
21.2,81.0,90.0,86.4
21.3,80.9,90.0,86.3
21.4,81.2,90.0,86.4
21.5,80.8,90.0,86.3
21.7,80.8,90.0,86.3
21.8,80.6,90.0,86.2
21.9,81.4,90.0,86.5
22.0,80.6,90.0,86.2
22.2,81.0,90.0,86.4
22.2,80.8,90.0,86.3
22.4,80.7,90.0,86.3
22.5,80.9,90.0,86.3
22.6,81.0,90.0,86.4
22.8,81.0,90.0,86.4
23.0,79.5,90.0,85.8
23.1,80.5,90.0,86.2
23.3,81.9,90.0,86.7
23.4,80.9,90.0,86.3
23.6,81.2,90.0,86.5
23.7,81.6,90.0,86.6
23.8,81.4,90.0,86.5
24.0,81.1,90.0,86.4
24.2,80.7,90.0,86.2
24.2,81.3,90.0,86.5
24.4,80.9,90.0,86.3
24.5,81.2,90.0,86.4
24.7,81.0,90.0,86.4
24.9,81.1,90.0,86.4
25.0,81.0,90.0,86.4
25.1,81.3,90.0,86.5
25.3,80.6,90.0,86.2
25.4,80.6,90.0,86.2
25.6,80.9,90.0,86.3
25.7,81.0,90.0,86.3
25.8,80.7,90.0,86.2
26.0,81.0,90.0,86.3
26.1,80.7,90.0,86.2
26.3,81.1,90.0,86.4
26.5,81.1,90.0,86.4
26.6,81.0,90.0,86.4
26.8,80.1,90.0,86.0
26.9,81.8,90.0,86.7
27.0,81.1,90.0,86.4
27.2,81.2,90.0,86.5
27.3,80.5,90.0,86.2
27.4,80.8,90.0,86.3
27.6,81.1,90.0,86.4
27.7,80.5,90.0,86.2
27.8,81.4,90.0,86.5
28.0,80.8,90.0,86.3
28.0,81.1,90.0,86.4
28.2,80.6,90.0,86.2
28.3,81.3,90.0,86.5
28.4,80.8,90.0,86.3
28.6,81.0,90.0,86.4
28.8,81.0,89.9,86.3
28.9,81.2,89.9,86.4
29.0,81.3,89.9,86.5
