Time_sec;MPU_Fusion_deg;Shaft_Angle_deg;Final_Fusion_deg
0,1;-0.1;0.0;-0.0
0,3;-0.0;0.0;-0.0
0,5;0.1;0.0;0.1
0,6;0.0;0.0;0.0
0,8;0.2;0.0;0.1
0,9;-0.0;0.0;0.0
1,1;0.0;0.0;0.0
1,3;-0.0;0.0;-0.0
1,4;0.1;0.0;0.0
1,6;0.1;0.0;0.0
1,8;0.1;0.0;0.1
2;-0.0;0.0;-0.0
2,1;0.1;0.0;0.1
2,2;-0.0;0.0;0.0
2,4;0.0;0.0;0.0
2,6;-0.0;0.0;-0.0
2,6;0.1;0.0;0.0
2,7;0.2;0.0;0.1
2,9;0.1;0.0;0.0
3;0.0;0.0;0.0
3,1;0.0;0.0;0.0
3,2;-0.1;0.0;-0.0
3,3;0.0;0.0;0.0
3,5;0.1;0.0;0.0
3,6;0.1;0.0;0.0
3,8;0.0;0.0;0.0
3,9;0.1;0.0;0.0
4,1;-0.1;0.0;-0.0
4,2;0.1;0.0;0.0
4,3;0.0;0.0;0.0
4,4;-0.1;0.0;-0.0
4,7;-0.6;-2.8;-1.9
4,9;-3.5;-8.9;-6.7
5,1;-12.3;-13.9;-13.3
5,3;-18.5;-18.9;-18.7
5,5;-18.2;-24.0;-21.7
5,7;-27.3;-29.0;-28.3
6;-28.6;-29.9;-29.4
6,2;-27.6;-29.9;-29.0
6,4;-27.4;-29.9;-28.9
6,5;-27.2;-29.9;-28.8
6,8;-27.4;-29.9;-28.9
7,3;-27.5;-29.9;-29.0
7,7;-27.6;-29.9;-29.0
8;-27.3;-29.9;-28.9
8,3;-27.6;-29.9;-29.0
8,5;-27.5;-29.9;-29.0
8,6;-27.4;-29.9;-28.9
8,6;-27.4;-29.9;-28.9
8,8;-27.4;-29.9;-28.9
9;-27.5;-29.9;-29.0
9,1;-27.4;-29.9;-28.9
9,2;-27.5;-29.9;-29.0
9,4;-27.6;-29.9;-29.0
9,5;-27.6;-29.9;-29.0
9,6;-27.7;-29.9;-29.1
9,8;-27.5;-29.9;-29.0
10;-27.5;-29.9;-29.0
10,1;-27.5;-29.9;-29.0
10,3;-27.4;-29.9;-28.9
10,4;-27.7;-29.9;-29.0
10,5;-27.6;-29.9;-29.0
10,6;-27.4;-29.9;-28.9
10,8;-27.5;-29.9;-29.0
11;-27.5;-29.9;-29.0
11,1;-27.6;-29.9;-29.0
11,2;-27.5;-29.9;-29.0
11,4;-27.4;-29.9;-28.9
11,5;-27.5;-29.9;-29.0
11,6;-27.6;-29.9;-29.0
11,8;-27.5;-29.9;-29.0
12;-27.5;-29.9;-29.0
12,1;-27.6;-29.9;-29.0
12,1;-27.5;-29.9;-29.0
12,3;-27.5;-29.9;-29.0
12,5;-27.6;-29.9;-29.0
12,6;-27.4;-29.9;-28.9
12,8;-27.5;-29.9;-29.0
13;-27.6;-29.9;-29.0
13;-27.5;-29.9;-29.0
13,2;-27.6;-29.9;-29.0
13,4;-27.4;-29.9;-28.9
13,5;-27.5;-29.9;-28.9
13,7;-27.6;-29.9;-29.0
13,9;-27.4;-29.9;-28.9
13,9;-27.4;-29.9;-28.9
14;-27.5;-29.9;-29.0
14,2;-27.5;-29.9;-29.0
14,4;-27.5;-29.9;-29.0
14,5;-27.5;-29.9;-29.0
14,6;-27.4;-29.9;-28.9
14,8;-27.5;-29.9;-29.0
14,9;-27.3;-29.9;-28.9
15;-27.6;-29.9;-29.0
15,2;-27.6;-29.9;-29.0
15,4;-27.5;-29.9;-28.9
15,5;-27.5;-29.9;-29.0
15,6;-27.4;-29.9;-28.9
15,7;-27.5;-29.9;-29.0
15,9;-27.6;-29.9;-29.0
16;-27.5;-29.9;-29.0
16,2;-27.4;-29.9;-28.9
16,4;-27.6;-29.9;-29.0
16,5;-27.5;-29.9;-29.0
16,7;-27.7;-29.9;-29.1
16,9;-27.6;-29.9;-29.0
17;-27.3;-29.9;-28.9
17,1;-27.5;-29.9;-29.0
17,3;-27.6;-29.9;-29.0
17,4;-27.6;-29.9;-29.0
17,5;-27.5;-29.9;-29.0
17,7;-27.5;-29.9;-28.9
17,9;-27.2;-29.9;-28.9
18;-27.5;-29.9;-29.0
18,1;-27.5;-29.9;-29.0
18,3;-27.5;-29.9;-29.0
18,4;-27.4;-29.9;-28.9
18,5;-27.5;-29.9;-29.0
18,7;-27.4;-29.9;-28.9
18,9;-27.4;-29.9;-28.9
19;-27.5;-29.9;-29.0
19,1;-27.6;-29.9;-29.0
19,2;-27.6;-29.9;-29.0
19,4;-27.5;-29.9;-29.0
19,5;-27.5;-29.9;-29.0
19,7;-27.4;-29.9;-28.9
19,9;-27.5;-29.9;-29.0
20;-27.5;-29.9;-29.0
20;-27.5;-29.9;-29.0
20,1;-27.4;-29.9;-28.9
20,3;-27.5;-29.9;-29.0
20,5;-27.5;-29.9;-29.0
20,6;-27.5;-29.9;-29.0
20,8;-27.5;-29.9;-29.0
20,9;-27.5;-29.9;-29.0
21;-27.5;-29.9;-28.9
21,2;-27.5;-29.9;-29.0
21,4;-27.6;-29.9;-29.0
21,5;-27.4;-29.9;-28.9
21,6;-27.5;-29.9;-29.0
21,8;-27.6;-29.9;-29.0
21,9;-27.5;-29.9;-29.0
22;-27.3;-29.9;-28.9
22,1;-27.3;-29.9;-28.9
22,3;-27.6;-29.9;-29.0
22,5;-27.4;-29.9;-28.9
22,6;-27.5;-29.9;-29.0
22,7;-27.6;-29.9;-29.0
22,8;-27.7;-29.9;-29.1
23;-27.2;-29.9;-28.9
23,3;-27.5;-29.9;-29.0
23,5;-27.6;-29.9;-29.0
23,5;-27.7;-29.9;-29.1
23,6;-27.5;-29.9;-29.0
23,7;-27.3;-29.9;-28.9
23,8;-27.5;-29.9;-29.0
23,9;-27.6;-29.9;-29.0
24;-27.6;-29.9;-29.0
24,1;-27.4;-29.9;-28.9
24,3;-27.4;-29.9;-28.9
24,4;-27.6;-29.9;-29.0
24,4;-27.3;-29.9;-28.9
24,5;-27.1;-29.9;-28.8
24,8;-24.9;-29.9;-27.9
24,9;-28.5;-29.9;-29.4
25;-28.3;-29.9;-29.3
25,1;-27.0;-29.9;-28.8
25,2;-27.0;-29.9;-28.8
25,3;-25.8;-29.9;-28.3
25,5;-27.6;-29.9;-29.0
25,6;-28.2;-29.9;-29.2
25,8;-26.7;-29.9;-28.6
25,9;-27.2;-29.9;-28.9
26;-27.3;-29.9;-28.9
26,3;-27.6;-29.9;-29.0
26,3;-27.6;-29.9;-29.0
26,4;-27.6;-29.9;-29.0
26,5;-27.6;-29.9;-29.0
26,6;-27.5;-29.9;-29.0
26,7;-27.3;-29.9;-28.9
26,9;-27.6;-29.9;-29.0
27;-27.4;-29.9;-28.9
27,1;-27.6;-29.9;-29.0
27,2;-27.5;-29.9;-29.0
27,3;-27.5;-29.9;-29.0
27,4;-27.6;-29.9;-29.0
27,5;-27.5;-29.9;-29.0
27,6;-27.6;-29.9;-29.0
27,7;-27.5;-29.9;-29.0
27,9;-27.5;-29.9;-29.0
28;-27.4;-29.9;-28.9
28,1;-27.6;-29.9;-29.0
28,1;-27.5;-29.9;-29.0
28,3;-27.6;-29.9;-29.0
28,4;-27.7;-29.9;-29.1
28,6;-27.5;-29.9;-29.0
28,7;-27.4;-29.9;-28.9
28,8;-27.6;-29.9;-29.0
28,9;-27.7;-29.9;-29.0
29;-27.4;-29.9;-28.9
29,1;-27.3;-29.9;-28.9
29,3;-27.3;-29.9;-28.9
29,4;-27.6;-29.9;-29.0
29,5;-27.6;-29.9;-29.0
29,6;-27.4;-29.9;-28.9
29,7;-27.5;-29.9;-29.0
29,8;-27.5;-29.9;-29.0
29,9;-27.4;-29.9;-28.9
30;-27.6;-29.9;-29.0
30,1;-27.5;-29.9;-29.0
30,3;-27.4;-29.9;-28.9
30,4;-27.7;-29.9;-29.1
30,5;-27.5;-29.9;-28.9
30,6;-27.4;-29.9;-28.9
30,7;-27.4;-29.9;-28.9
30,8;-27.6;-29.9;-29.0
30,9;-27.5;-29.9;-29.0
31;-27.5;-29.9;-29.0
31,1;-27.4;-29.9;-28.9
31,2;-27.4;-29.9;-28.9
31,4;-27.6;-29.9;-29.0
31,5;-27.7;-29.9;-29.1
