Time_sec,MPU_Fusion_deg,Shaft_Angle_deg,Final_Fusion_deg
0.1,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.4,0.1,0.0,0.0
0.4,0.1,0.0,0.0
0.6,0.1,0.0,0.0
0.8,0.1,0.0,0.0
0.9,-0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.1,0.1,0.0,0.0
1.2,0.0,0.0,0.0
1.3,0.1,0.0,0.0
1.4,0.1,0.0,0.0
1.6,0.0,0.0,0.0
1.6,0.0,0.0,0.0
1.8,0.1,0.0,0.1
1.9,0.2,0.0,0.1
2.0,0.1,0.0,0.0
2.1,0.1,0.0,0.0
2.2,0.1,0.0,0.1
2.4,0.0,0.0,0.0
2.5,0.2,0.0,0.1
2.7,0.0,0.0,0.0
2.9,0.1,0.0,0.1
2.9,0.1,0.0,0.0
3.1,0.1,0.0,0.0
3.2,0.3,0.0,0.1
3.3,0.1,0.0,0.0
3.4,0.0,0.0,0.0
3.5,0.2,0.0,0.1
3.7,0.1,0.0,0.0
3.8,0.0,0.0,0.0
4.0,0.1,0.0,0.1
4.1,-0.1,0.0,-0.0
4.2,0.1,0.0,0.0
4.4,0.0,0.0,0.0
4.5,0.0,0.0,0.0
4.7,0.0,0.0,0.0
4.9,0.0,0.0,0.0
5.0,0.1,0.0,0.1
5.2,0.2,0.0,0.1
5.4,0.1,0.0,0.0
5.5,0.0,0.0,0.0
5.6,-0.1,0.0,-0.0
5.7,0.2,0.0,0.1
5.8,0.1,0.0,0.0
5.9,0.2,0.0,0.1
6.0,0.1,0.0,0.0
6.2,0.1,0.0,0.0
6.2,0.0,0.0,0.0
6.4,0.0,0.0,0.0
6.6,0.0,0.0,0.0
6.7,0.1,0.0,0.0
6.8,0.0,0.0,0.0
7.0,0.2,0.0,0.1
7.1,0.2,0.0,0.1
7.3,0.0,0.0,0.0
7.5,0.2,0.0,0.1
7.5,0.0,0.0,0.0
7.7,0.5,0.0,0.2
7.8,-0.2,0.0,-0.1
7.9,0.2,0.0,0.1
8.0,0.1,0.0,0.0
8.1,0.2,0.0,0.1
8.3,-0.1,0.0,-0.0
8.5,1.6,2.7,2.3
8.7,8.7,8.8,8.7
8.9,10.9,13.5,12.5
9.1,17.8,18.4,18.2
